Name,Nationality,National_Position,Club_Position,Height,Weight,Preffered_Foot,Age,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys
Sofiane Hanni,Algeria,,CAM,178,68,Right,26,High / Medium,4,4,76,77,20,22,25,33,74,20,75,76,72,75,67,76,71,72,65,75,77,41,57,76,79,75,71,72,69,70
Riccardo Meggiorini,Italy,,LS,182,78,Left,31,Medium / Medium,3,3,78,76,22,24,28,45,76,23,74,78,62,72,54,78,78,76,76,74,78,76,73,70,76,60,70,60,73,70
Oupa Manyisa,South Africa,,RCM,166,67,Right,28,High / High,4,2,77,73,75,60,76,55,70,68,76,76,48,78,74,76,74,80,43,84,85,56,64,74,73,77,64,51,78,63
Cheick Diabaté,Mali,,ST,194,88,Right,28,Medium / Low,2,3,73,68,21,15,17,83,77,19,56,80,49,68,59,50,53,70,92,50,41,68,79,81,77,69,56,48,80,77
Aatif Chahechouhe,Morocco,,Sub,176,68,Right,30,High / Medium,4,4,78,80,26,24,27,39,74,40,70,70,70,75,68,81,77,74,62,73,82,58,63,78,76,74,69,63,85,77
Paul-José Mpoku,DR Congo,,LM,177,80,Right,24,Medium / Low,4,3,77,80,39,41,50,60,72,52,75,76,72,73,70,78,80,76,78,72,78,78,54,84,73,77,76,79,79,70
Dmitriy Tarasov,Russia,,Sub,192,84,Right,30,Medium / Medium,3,2,73,71,77,73,75,85,69,76,65,74,59,76,73,63,65,75,84,43,62,75,78,64,48,66,42,50,52,38
Siem de Jong,Netherlands,,LCM,185,80,Right,28,High / Medium,4,2,78,73,47,55,60,64,79,60,75,79,63,76,77,66,64,83,74,60,67,80,82,80,77,80,66,69,72,81
Franco Di Santo,Argentina,,Res,193,88,Right,27,High / Medium,3,3,78,76,22,23,30,76,75,38,67,73,60,71,57,66,78,72,77,59,67,61,75,79,74,72,70,49,75,80
Matt Ritchie,Scotland,Sub,RM,173,71,Left,27,High / Medium,4,3,75,76,56,53,57,69,73,46,74,68,76,71,66,78,76,81,59,84,74,72,38,76,73,77,72,65,65,75
Fabio Borini,Italy,,LM,180,74,Right,26,High / Medium,3,3,75,77,13,24,26,70,77,30,69,74,70,75,62,79,77,75,66,64,78,71,75,76,76,66,65,61,81,75
Gaël Kakuta,France,,Sub,173,64,Left,25,Medium / Medium,3,4,81,80,23,25,41,42,68,46,74,65,82,74,64,84,77,60,65,81,86,80,67,77,68,63,77,69,51,62
Diego Ângelo,Brazil,,LCB,192,84,Left,31,Medium / Medium,2,2,62,60,78,74,78,75,65,78,57,59,70,68,66,54,52,75,86,33,32,34,78,84,52,72,63,77,59,28
Andrea Poli,Italy,,Sub,181,70,Right,27,Medium / Medium,3,3,79,77,56,60,60,71,72,69,78,69,68,80,74,77,77,77,69,74,75,68,56,70,61,71,72,68,68,69
Michał Pazdan,Poland,LCB,LCB,181,78,Left,29,Medium / High,5,2,63,49,80,72,73,92,73,74,65,69,53,66,64,70,50,74,80,69,63,80,70,64,35,55,48,41,31,41
Maurício,Brazil,,LCM,180,72,Right,28,High / Medium,4,3,81,77,76,74,75,70,72,70,75,74,65,82,77,77,72,76,68,69,74,83,66,76,65,79,77,78,70,70
Marcelo Larrondo,Chile,,Res,191,83,Right,28,High / Low,3,3,75,72,22,18,24,76,74,20,76,69,50,77,54,54,68,72,78,39,61,77,83,74,78,57,67,41,75,66
Michael Lang,Switzerland,Sub,RB,185,79,Right,26,High / Medium,4,2,74,54,77,77,79,69,59,74,48,61,78,75,72,75,78,79,80,58,64,78,77,73,65,67,45,55,59,60
Jonathan Biabiany,France,,Sub,177,73,Right,28,High / Low,3,3,78,80,20,30,30,55,74,24,66,70,74,74,54,94,96,76,66,80,86,64,53,70,66,57,67,47,63,68
Kolbeinn Sigþórsson,Iceland,,Res,186,80,Right,27,High / Medium,3,2,69,66,30,32,46,63,74,40,63,74,48,63,60,66,69,75,82,55,58,70,85,79,77,68,53,54,71,71
Lamine Koné,Ivory Coast,Sub,RCB,186,83,Right,28,Medium / Medium,2,2,62,46,71,69,78,81,71,75,45,64,60,60,50,55,66,71,90,48,51,63,78,55,34,29,39,28,31,29
Gregory van der Wiel,Netherlands,,Sub,183,69,Right,29,Medium / Medium,3,3,76,75,73,75,75,75,78,69,71,72,78,75,71,81,81,75,74,69,74,83,69,74,60,68,55,22,43,57
Maxi Moralez,Argentina,,LCM,158,56,Right,30,High / Medium,4,3,78,77,22,34,28,68,74,20,74,76,74,76,68,86,78,69,34,94,86,55,56,69,66,70,76,78,74,70
Gabriel Mercado,Argentina,RB,Sub,180,83,Right,30,Medium / Medium,3,2,70,53,73,74,75,81,71,78,60,73,68,67,64,77,79,81,82,52,55,76,75,63,52,55,56,54,49,25
Siphiwe Tshabalala,South Africa,,RM,170,65,Left,32,High / Medium,3,4,76,78,33,32,40,49,75,37,77,73,74,73,65,78,77,85,60,90,80,52,39,69,75,76,72,75,64,71
Anthony Mounier,France,,Res,174,65,Left,29,High / Medium,2,3,82,80,28,28,32,60,70,38,68,76,74,76,64,86,79,78,60,78,84,62,60,70,66,66,78,65,70,74
Gottardi,Brazil,,GK,193,82,Right,31,Medium / Medium,3,1,17,15,17,12,13,34,74,22,58,43,13,18,13,43,40,35,69,40,48,62,19,18,11,12,15,18,16,12
Simon Terodde,Germany,,ST,192,83,Right,29,Medium / Medium,4,2,73,61,11,19,40,74,76,23,58,74,50,69,40,64,74,67,84,56,54,65,78,79,80,69,38,44,55,74
Nils Petersen,Germany,,Sub,188,85,Right,28,Medium / Medium,5,2,71,64,30,21,29,60,80,32,58,82,56,63,49,59,63,68,75,56,65,66,82,78,79,63,54,45,77,79
Giovanni Sio,Ivory Coast,Sub,LS,180,70,Left,27,High / Low,3,3,75,75,17,12,18,75,71,18,73,69,69,74,68,79,86,80,73,74,82,70,70,76,78,74,73,70,72,73
Fabian Frei,Switzerland,Sub,RDM,183,77,Right,28,Medium / Medium,3,2,75,70,67,69,70,61,70,73,80,75,74,78,74,65,69,86,72,69,73,67,71,80,68,74,71,65,62,76
Fin Bartels,Germany,,RM,176,69,Right,30,High / Medium,3,4,80,78,37,28,36,56,74,50,71,73,67,73,66,83,85,84,55,84,89,70,53,70,69,69,64,56,60,65
Marc Albrighton,England,,LM,174,67,Right,27,High / High,3,3,76,77,41,45,47,73,70,56,74,66,83,72,68,80,78,85,61,77,79,60,42,71,69,67,82,71,60,72
Ciaran Clark,Republic of Ireland,LCB,LCB,188,76,Left,27,Medium / Medium,2,2,63,53,75,80,77,82,72,75,51,76,39,64,63,62,67,70,76,51,59,73,79,71,43,54,52,43,55,62
Mërgim Mavraj,Albania,,Sub,189,84,Left,30,Medium / Medium,3,2,63,36,78,76,81,74,69,69,49,70,47,65,45,50,53,63,79,47,53,74,77,45,25,26,43,53,51,33
Sebastian De Maio,France,,Sub,190,90,Right,30,Medium / High,3,2,43,28,79,77,78,77,68,75,34,55,11,54,42,65,68,68,92,45,53,84,74,51,20,37,23,39,46,20
Koo Ja Cheol,Korea Republic,,LM,183,77,Right,28,Medium / Medium,4,4,78,80,51,47,60,55,73,57,72,72,72,75,71,75,73,74,64,79,77,77,66,80,74,78,76,72,74,75
Marcelo Martins,Bolivia,RS,Res,187,82,Right,29,Medium / Medium,4,3,71,70,22,23,24,71,73,24,67,75,58,69,55,64,61,66,79,58,67,70,79,80,79,71,57,57,76,71
Albin Ekdal,Sweden,RCM,LDM,186,75,Right,27,High / Medium,3,3,80,76,54,64,70,83,76,70,75,75,69,77,77,55,54,78,75,57,66,66,60,72,60,69,74,70,68,66
Rhodolfo,Brazil,,Sub,193,84,Right,30,Medium / High,3,2,61,54,77,79,78,79,72,76,44,68,47,68,65,39,40,69,85,32,33,34,77,65,48,56,45,57,51,53
Luisinho,Portugal,,LB,175,62,Left,31,High / Medium,3,2,77,77,70,79,78,82,74,75,64,60,76,77,68,73,68,73,57,77,72,51,65,59,49,53,67,59,51,45
Dejan Damjanović,Montenegro,,LS,187,81,Right,35,High / Low,4,3,72,68,20,23,21,70,73,35,73,62,61,68,54,78,77,65,85,63,77,79,80,78,75,75,63,66,72,74
Eren Derdiyok,Switzerland,Sub,Sub,191,92,Right,28,Medium / Medium,3,3,71,68,12,18,31,46,71,26,75,70,60,71,63,49,53,56,89,50,58,69,85,79,77,75,60,64,67,78
Thomas Kraft,Germany,,Sub,187,78,Right,28,Medium / Medium,4,1,21,13,13,20,19,40,74,20,25,48,14,35,28,49,52,35,68,39,45,73,13,23,14,16,11,12,18,13
Damien Da Silva,France,,RCB,184,82,Right,28,Medium / Medium,4,2,68,42,75,76,77,82,64,78,40,65,49,69,51,54,68,63,75,61,60,73,75,28,25,41,28,31,43,36
Emiliano Insúa,Argentina,,LB,180,79,Left,28,High / Medium,2,3,74,73,76,77,77,79,74,78,67,76,78,76,73,68,63,79,79,69,69,72,72,85,50,76,59,68,66,64
Pablo Hernández,Spain,,CAM,173,72,Right,31,Medium / Medium,3,4,82,81,42,36,47,54,68,49,78,80,75,72,69,74,75,65,51,80,80,67,53,76,67,77,81,77,72,65
Miralem Sulejmani,Serbia,,Sub,178,73,Left,28,Medium / Medium,3,3,80,80,29,26,36,32,70,26,67,74,74,71,65,79,86,68,60,77,80,55,47,75,72,71,83,74,73,70
Marko Marin,Germany,,Sub,170,64,Right,28,High / Low,4,4,81,82,26,22,23,35,60,25,78,67,73,77,66,79,73,61,32,90,85,67,42,63,60,73,82,74,58,75
Adrián González,Spain,,CAM,183,76,Left,28,High / Medium,3,3,81,76,59,68,70,70,78,68,75,62,69,78,69,61,64,73,64,66,67,65,70,58,75,70,81,69,76,51
Erik Pieters,Netherlands,,LB,182,86,Left,28,Medium / Medium,2,2,73,64,77,81,80,85,71,76,62,67,64,75,64,67,69,78,76,57,65,68,73,51,32,36,67,56,65,34
Papa Kouli Diop,Senegal,,Sub,179,77,Right,31,Medium / Medium,3,3,76,63,61,74,80,89,75,79,65,73,58,74,72,57,60,79,86,67,64,80,72,82,57,71,70,69,61,67
Sergio Sánchez,Spain,,Sub,185,76,Right,30,Medium / Medium,2,2,69,44,80,75,77,76,71,79,60,70,69,63,60,66,67,79,79,60,68,72,71,59,53,41,35,30,47,51
Granero,Spain,,Sub,180,75,Right,29,Medium / Medium,4,3,78,72,51,53,68,73,74,69,78,70,78,83,82,60,55,53,68,67,69,57,59,78,66,73,80,76,73,53
Lucas Deaux,France,,LCM,188,72,Right,28,Medium / High,2,2,72,65,70,74,76,79,69,73,67,63,59,76,76,62,65,87,80,62,58,66,68,66,47,54,52,41,48,32
Sidney Sam,Germany,,RM,174,71,Left,29,Medium / Low,3,3,77,79,23,27,33,70,73,35,74,68,72,72,59,86,86,63,50,79,84,69,61,80,72,75,75,68,64,78
Martin Harnik,Austria,Sub,ST,186,80,Right,29,High / Medium,4,3,70,74,39,42,32,72,76,39,72,75,68,74,69,79,82,86,75,64,69,90,77,76,72,67,73,52,72,75
Nabil Dirar,Morocco,,Sub,187,82,Right,31,Medium / Medium,4,3,79,82,43,32,33,70,69,44,69,76,77,77,67,81,82,71,76,65,78,74,47,70,65,68,72,62,52,62
Ludovic Baal,France,,LB,176,75,Left,30,High / Medium,3,2,69,64,75,72,76,75,68,73,59,64,71,73,65,78,85,90,68,73,67,67,66,50,44,58,53,50,66,56
Bojan Jokič,Slovenia,Sub,Res,176,75,Left,30,Medium / Medium,3,2,74,62,75,78,73,81,69,74,55,75,80,76,69,75,74,77,76,76,71,81,65,68,48,61,62,59,49,56
Fabian Lustenberger,Switzerland,,Sub,180,70,Right,28,Medium / High,3,2,70,62,76,78,82,76,77,83,62,72,45,74,68,66,61,68,71,66,65,86,72,47,32,35,38,36,55,34
Stefan Aigner,Germany,,LW,183,73,Right,29,Medium / Medium,4,3,74,76,30,36,37,62,76,54,75,69,74,74,67,79,86,68,64,72,77,76,74,71,72,62,59,63,61,68
Andreas Beck,Germany,,Sub,180,74,Right,30,High / High,3,3,74,74,79,75,76,74,76,74,59,77,74,75,71,75,73,78,67,71,73,66,71,70,29,62,77,65,42,32
Simone Missiroli,Italy,,Sub,191,77,Right,30,Medium / Medium,3,3,77,74,60,63,72,63,75,75,74,67,68,78,73,67,68,78,62,41,64,64,60,68,66,61,68,60,64,66
Yeom Ki Hun,Korea Republic,,LM,182,78,Left,34,Medium / Medium,3,3,73,72,24,22,23,55,72,63,77,73,84,78,74,71,75,74,78,62,75,77,55,80,71,72,84,85,72,63
Jozy Altidore,United States,ST,RS,183,79,Right,27,Medium / Low,4,3,71,72,26,27,34,84,68,32,72,70,39,70,59,69,69,74,86,46,75,73,76,81,76,70,66,69,75,69
Jelle Vossen,Belgium,,ST,180,73,Right,28,High / High,4,3,73,68,33,40,39,64,78,48,73,75,67,74,68,62,62,85,60,73,74,70,72,79,80,76,72,70,75,83
Sacha Kljestan,United States,RCM,RAM,185,77,Right,31,Medium / High,4,3,75,73,59,59,65,70,77,59,82,77,76,78,73,66,66,77,69,63,67,76,69,70,66,71,70,73,67,64
Sven Kums,Belgium,,Sub,175,69,Right,29,Medium / High,4,2,78,73,63,68,72,68,72,73,77,76,74,80,77,64,66,69,56,78,76,62,52,69,57,71,74,73,76,67
Cristian Riveros,Paraguay,CM,Res,178,74,Right,34,Medium / Medium,3,2,76,69,63,62,61,72,72,65,77,80,74,81,77,60,53,75,62,70,79,65,70,71,69,71,67,68,71,64
Gonzalo Castro,Uruguay,,LM,176,70,Left,32,High / Low,3,3,80,82,23,37,42,53,80,40,73,77,76,72,58,75,71,60,57,81,76,68,55,72,68,69,72,69,64,63
Adrián,Spain,,Sub,183,73,Right,29,Medium / Medium,3,3,84,82,21,16,19,58,75,32,71,59,60,73,55,77,75,66,68,64,77,74,68,74,74,69,76,57,67,74
Joselu,Spain,,Sub,192,80,Right,27,Medium / Medium,3,3,76,75,17,15,24,57,74,19,68,53,58,70,49,65,67,68,76,53,69,61,81,78,74,73,76,71,72,75
James Tomkins,England,,RCB,192,74,Right,28,Medium / Medium,2,2,58,50,77,80,79,73,73,74,50,69,45,61,60,55,56,75,76,53,51,74,78,40,29,29,33,31,43,28
Siqueira,Brazil,,Sub,183,76,Left,30,High / Medium,3,3,75,75,69,80,74,80,75,76,58,59,80,68,80,69,75,76,69,58,69,75,68,80,56,59,82,68,82,45
Luca Cigarini,Italy,,Sub,175,74,Right,30,Medium / Medium,4,2,79,71,58,60,66,62,70,70,80,73,76,82,82,68,66,68,64,78,74,54,48,74,58,74,76,78,72,70
Keiren Westwood,Republic of Ireland,Sub,GK,188,86,Left,32,Medium / Medium,4,1,22,20,20,19,20,38,66,22,41,47,20,28,23,50,45,25,78,48,58,61,20,24,11,20,11,12,31,14
Jonas Lössl,Denmark,Sub,GK,195,88,Right,28,Medium / Medium,2,1,19,15,12,15,13,17,72,20,49,30,14,30,34,29,34,25,67,30,32,51,17,22,12,15,14,13,12,11
Mikel Gonzalez,Spain,,Sub,190,79,Right,31,Medium / Medium,4,2,54,44,80,79,81,78,70,73,40,70,52,63,53,36,33,59,86,34,34,64,74,62,33,31,44,50,49,41
Paul Aguilar,Mexico,,LCB,180,67,Right,31,High / High,3,2,71,68,73,75,73,75,69,72,63,75,76,70,70,87,85,90,67,67,72,82,68,70,59,74,67,51,57,64
Aythami Artiles,Spain,,Sub,184,78,Right,30,High / Medium,3,2,58,45,77,72,81,79,68,73,39,57,45,73,71,33,50,74,80,56,56,76,75,38,43,37,44,41,36,47
Andrey Eschenko,Russia,,RB,176,74,Right,33,High / Medium,3,2,73,62,71,77,75,76,73,74,69,66,77,69,70,78,81,82,67,86,78,50,60,56,61,50,50,49,55,39
Lorenzo De Silvestri,Italy,,Sub,186,84,Right,28,High / Medium,3,2,73,71,71,77,77,71,75,75,49,70,78,70,66,74,76,78,79,58,69,78,79,74,40,75,64,62,52,60
Tarik Elyounoussi,Norway,LM,RW,172,66,Right,29,High / Medium,4,4,77,82,43,28,33,43,73,36,71,77,72,69,47,82,78,75,43,90,91,76,68,75,72,73,58,69,65,70
Scott Sinclair,England,,LW,173,63,Right,28,High / Medium,2,4,77,79,19,28,30,45,62,45,67,69,72,72,50,89,88,81,57,80,88,64,68,74,75,65,69,69,82,65
Andrea Masiello,Italy,,LCB,184,82,Right,31,Medium / Medium,2,2,58,54,79,77,79,77,72,79,26,66,66,66,63,67,65,69,74,56,62,79,71,63,23,41,47,35,31,52
Danijel Milićević,Bosnia Herzegovina,,RF,170,63,Right,31,Medium / Medium,4,3,77,72,29,30,25,39,77,38,76,73,81,78,80,76,74,73,48,80,78,60,46,77,77,79,79,83,66,76
Hugo Rodallega,Colombia,,ST,181,72,Right,31,High / Low,3,3,75,75,28,33,38,54,71,44,69,72,69,69,60,77,80,77,70,75,79,90,74,76,76,72,74,71,74,71
Roman Shishkin,Russia,Sub,Sub,176,73,Right,30,Medium / Medium,3,3,75,66,78,76,74,73,77,75,69,67,76,74,71,77,73,75,59,73,81,74,57,64,61,65,70,71,56,37
Mikhail Kerzhakov,Russia,,Sub,191,82,Right,30,Medium / Medium,3,1,22,12,15,20,19,21,72,16,40,54,20,23,26,38,33,32,76,31,28,52,16,15,12,14,19,15,24,11
Alan Kasaev,Russia,,LM,174,76,Right,30,High / Medium,4,4,76,78,26,28,32,58,77,34,73,73,73,76,72,82,81,58,65,81,76,53,57,70,72,68,72,61,63,68
Brad Jones,Australia,,GK,194,76,Left,35,Medium / Medium,2,1,22,18,11,13,13,40,75,23,30,52,19,28,18,52,55,40,72,30,25,70,11,24,17,11,13,12,35,11
Doka,Brazil,,LM,178,70,Right,32,High / Low,3,3,77,79,31,28,33,61,67,29,71,76,76,75,70,79,82,74,59,84,78,70,56,81,69,79,73,71,63,69
Mariano Izco,Argentina,,Sub,180,77,Right,34,Medium / High,3,2,78,78,68,64,74,72,76,75,77,77,70,78,74,69,75,78,72,68,69,55,60,82,58,70,68,50,60,60
Lior Refaelov,Israel,,RW,175,70,Right,30,Medium / Low,4,4,79,81,16,26,25,38,73,29,77,76,71,74,69,75,66,63,49,77,80,68,43,73,75,77,73,67,75,76
Caio,Brazil,,CAM,186,85,Right,30,Medium / Low,4,3,80,80,12,22,18,65,71,60,76,65,75,74,70,75,77,54,81,58,67,68,75,84,76,82,83,82,66,71
Eduardo,Portugal,,Sub,188,86,Right,34,Medium / Medium,3,1,32,11,13,20,20,28,70,24,42,53,13,22,32,46,44,20,72,58,60,75,12,38,20,18,11,14,37,11
Julien Féret,France,,LCM,187,76,Right,34,High / Medium,4,3,79,74,46,55,58,58,75,59,82,72,73,76,75,53,54,75,70,63,75,60,65,75,74,75,73,71,72,70
Stéphane Sessègnon,Benin,,RDM,168,75,Right,32,Medium / Medium,3,4,80,80,63,66,68,72,74,71,75,75,78,74,70,79,77,79,73,90,86,71,70,75,71,69,76,67,77,69
Jonathan Orozco,Mexico,,GK,184,79,Right,30,Medium / Medium,4,1,25,24,14,20,15,41,73,12,69,66,12,48,49,59,60,30,68,63,69,83,12,24,14,12,14,14,24,14
Rolando,Portugal,,LCB,189,77,Right,31,Low / Medium,2,2,63,57,75,74,81,76,64,77,47,63,44,68,65,48,46,62,83,37,36,68,75,62,20,48,46,50,48,37
James Morrison,Scotland,LDM,CAM,178,64,Right,30,Medium / Medium,3,3,77,78,55,64,60,69,75,59,74,74,83,78,73,69,68,77,59,77,77,51,54,80,72,78,64,63,69,83
Marvin Matip,Cameroon,,RCB,184,83,Right,31,Medium / Medium,2,2,61,46,73,73,76,80,75,77,48,73,49,67,63,68,74,66,77,60,65,86,80,66,39,47,42,47,44,34
Néstor Ortigoza,Paraguay,Sub,LCM,180,78,Right,32,Medium / Low,3,2,82,64,63,55,58,82,81,68,84,85,62,85,84,49,36,54,86,60,55,35,61,74,46,51,56,67,90,34
Jesús Gámez,Spain,,Sub,182,77,Right,31,Medium / Medium,3,2,74,63,79,78,81,86,73,79,49,74,78,64,66,64,76,78,82,57,58,77,63,84,37,51,65,51,53,44
Abraham,Spain,,RCM,178,80,Right,31,Medium / Medium,4,3,74,65,70,66,71,70,70,70,77,60,72,85,82,66,59,78,61,59,63,33,47,77,59,73,81,72,63,47
Trashorras,Spain,,RDM,179,71,Right,36,Medium / Medium,3,3,77,64,69,67,69,74,74,73,80,66,73,82,81,47,35,72,70,63,51,49,59,72,60,74,81,80,80,59
Julio Alberto Barroso,Argentina,,CB,175,71,Right,32,Medium / High,3,2,67,43,80,75,77,51,76,75,59,72,51,65,64,73,72,77,81,69,63,90,76,64,43,52,25,55,70,46
Pirmin Schwegler,Switzerland,,Sub,178,74,Right,30,Medium / Medium,4,2,75,74,73,73,73,68,75,78,76,80,71,80,76,64,55,74,66,74,74,76,68,77,61,77,60,74,66,65
Oribe Peralta,Mexico,LW,LS,179,75,Right,33,High / Medium,4,3,75,72,22,39,35,78,75,42,69,80,62,70,64,69,73,68,77,64,79,81,74,73,77,68,66,56,73,74
Gelson Fernandes,Switzerland,Sub,RDM,179,70,Right,30,Medium / High,3,2,69,68,74,70,77,87,72,79,68,71,59,75,70,69,69,92,75,66,67,70,63,67,51,55,57,55,50,55
Aaron Hunt,Germany,,Sub,183,73,Left,30,Medium / Medium,3,3,78,77,28,35,34,59,78,55,74,77,77,77,69,74,68,68,65,72,76,63,63,75,71,74,77,76,81,75
Mounir Obbadi,Morocco,,CDM,172,65,Right,33,Medium / Medium,4,3,77,71,66,73,71,75,69,75,78,83,76,80,76,68,63,73,56,82,73,81,63,75,66,70,61,77,61,67
Guillaume Hoarau,France,,LS,192,80,Right,33,Medium / Low,2,3,71,70,45,35,53,63,76,34,69,76,66,74,62,55,58,65,86,34,59,62,81,72,80,68,66,54,81,73
José de Jesús Corona,Mexico,Sub,GK,184,84,Right,36,Medium / Medium,3,1,23,13,12,12,13,11,73,23,43,67,17,33,33,47,41,25,60,60,65,79,13,23,15,17,14,12,23,12
Charlie Adam,Scotland,,LDM,185,82,Left,31,Medium / Low,3,3,76,72,58,57,61,88,68,60,81,74,82,81,81,55,46,65,77,68,63,66,69,85,74,81,79,76,83,75
Alexandr Belenov,Russia,Sub,Sub,197,91,Right,30,Medium / Medium,3,1,14,14,18,11,14,35,70,21,37,56,11,16,23,54,77,34,62,28,44,71,11,17,11,15,12,13,19,15
Àngel Rangel,Spain,,Sub,180,82,Right,34,Medium / Medium,3,3,75,73,78,77,80,68,75,82,71,80,80,70,71,64,55,75,76,55,68,75,76,66,56,59,63,57,59,43
Jean-Louis Leca,France,,GK,180,75,Right,31,Medium / Medium,3,1,25,13,10,12,14,51,67,22,27,29,12,22,24,40,41,24,62,45,44,58,13,16,11,13,13,12,14,11
Rubens Sambueza,Argentina,,LCM,174,74,Left,33,High / Medium,3,4,79,75,40,46,48,85,75,60,80,83,78,77,78,73,73,80,75,74,73,67,57,75,66,72,82,75,70,61
Jason Puncheon,England,,RCM,173,71,Left,30,Medium / Medium,2,3,75,76,58,50,54,72,72,48,76,71,77,76,74,72,74,74,66,83,74,73,41,77,69,74,76,78,73,70
Jaroslav Drobný,Czech Republic,,Sub,192,90,Right,37,Medium / Medium,2,1,22,15,14,13,13,23,76,14,23,42,13,35,33,35,38,28,69,35,39,52,12,22,14,15,12,12,24,19
Wes Hoolahan,Republic of Ireland,CAM,LM,168,71,Left,34,High / Low,2,4,80,75,44,45,54,39,74,35,81,70,73,78,73,66,61,64,48,85,78,33,43,70,66,69,65,67,77,62
Vladimir Gabulov,Russia,,GK,190,83,Right,33,Medium / Medium,2,1,24,14,11,17,11,37,74,22,47,48,19,29,20,58,55,38,70,53,50,69,12,16,13,12,20,11,18,13
Diego Castro,Spain,,LM,174,71,Right,34,Medium / Medium,4,4,80,82,35,40,42,65,80,45,76,81,78,69,64,75,70,56,55,82,72,69,55,73,72,73,81,72,89,68
Cejudo,Spain,,Sub,180,78,Right,33,High / Medium,5,3,82,80,41,53,55,80,82,51,61,71,78,70,72,76,77,73,70,65,76,63,53,81,61,67,73,61,50,67
Andrés Fernández,Spain,,GK,184,86,Right,30,Medium / Medium,3,1,18,14,11,15,14,40,75,26,41,53,17,35,40,58,55,43,74,65,57,82,12,22,13,22,24,12,21,23
Yalçın Ayhan,Turkey,Sub,RCB,192,82,Right,34,Low / High,2,2,60,46,76,74,78,86,68,76,31,71,31,60,45,44,46,66,87,32,34,33,80,42,32,25,32,38,36,23
Boštjan Cesar,Slovenia,RCB,Sub,191,89,Left,34,Low / Medium,3,2,58,54,81,74,78,70,66,80,25,75,20,54,54,34,54,55,91,34,30,72,74,47,14,32,24,27,46,28
Leonardo Ponzio,Argentina,,LDM,174,71,Right,35,Medium / High,3,2,74,65,79,77,76,80,78,76,69,73,67,75,74,66,48,73,68,67,75,77,65,79,47,70,57,70,70,41
Alejandro Domínguez,Argentina,,Sub,175,73,Right,35,High / Low,4,3,80,77,34,47,24,60,71,28,73,68,70,78,74,68,61,40,67,75,71,44,56,80,73,81,83,75,78,73
Darren Fletcher,Scotland,Sub,RDM,184,74,Right,33,Medium / High,3,2,75,65,79,78,81,80,80,84,68,83,72,82,79,55,53,76,70,59,62,70,83,77,65,73,65,47,62,60
Marc Janko,Austria,Sub,Sub,196,93,Left,33,Medium / Medium,2,2,72,61,28,22,37,71,75,26,58,65,49,58,37,49,53,63,92,41,48,31,81,78,80,73,53,53,81,74
Marco Storari,Italy,,Sub,187,76,Right,40,Medium / Medium,2,1,20,21,11,11,14,31,69,14,54,65,14,32,35,49,39,39,63,63,59,75,21,21,12,14,11,12,10,12
Daniele Gastaldello,Italy,,RCB,185,77,Right,33,High / Medium,3,2,56,54,80,74,80,74,70,82,46,76,34,56,64,52,54,66,78,57,46,82,74,49,35,39,37,23,41,33
Giampaolo Pazzini,Italy,,ST,180,77,Right,32,Medium / Medium,3,2,74,64,16,20,22,70,70,20,58,78,50,65,40,67,69,56,66,78,73,93,88,68,83,40,63,40,85,80
Franco Brienza,Italy,,RW,168,68,Left,38,Medium / Medium,4,3,84,80,46,58,54,50,76,68,83,78,76,80,76,69,63,54,44,91,79,50,33,78,56,78,80,75,79,74
Stijn Schaars,Netherlands,,CDM,178,76,Left,33,Medium / Medium,3,3,74,68,64,69,68,72,74,82,78,80,82,78,85,38,32,72,67,65,59,48,63,75,61,71,75,76,76,67
Alexis,Spain,,Sub,183,75,Right,31,Medium / Medium,3,2,63,48,76,73,75,82,63,72,48,74,57,75,63,55,62,68,79,58,57,76,80,67,22,24,49,43,30,40
Hasan Ali Kaldırım,Turkey,,LB,183,75,Left,27,High / High,2,3,75,72,76,74,75,74,74,72,58,72,73,75,74,82,80,82,64,78,76,70,60,73,52,68,78,32,40,42
Ersan Gülüm,Turkey,,Res,185,85,Left,29,Low / High,2,2,58,60,72,71,79,87,76,77,44,65,48,67,65,67,54,83,86,53,59,80,72,70,48,55,30,44,49,38
Marco Borriello,Italy,,LS,185,76,Left,34,High / Medium,2,2,75,69,18,20,24,58,70,24,62,80,55,68,45,60,66,61,78,60,68,78,80,80,80,50,61,64,74,70
Kolo Touré,Ivory Coast,,Sub,178,76,Right,36,Medium / Medium,3,2,62,53,73,77,76,83,62,73,57,70,41,70,65,63,65,66,84,67,31,72,76,73,56,66,60,65,57,36
Achille Emaná,Cameroon,,RS,180,77,Right,34,Medium / Low,3,4,80,77,44,58,64,70,71,55,79,80,67,78,73,66,68,68,91,75,63,65,61,79,67,69,73,70,76,67
Gareth McAuley,Northern Ireland,CB,RCB,195,89,Right,37,Low / High,3,2,66,27,77,69,81,79,75,76,52,65,49,53,51,50,34,67,79,33,34,72,83,44,50,30,39,33,49,23
